City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,lavrentiya,65.5833,-171.0,-19.42,95,100,4.12,RU,1675632152
84,port alfred,-33.5906,26.891,21.77,94,33,1.34,ZA,1675632033
85,cidreira,-30.1811,-50.2056,26.1,64,52,5.57,BR,1675632227
86,lagoa,39.05,-27.9833,15.28,83,99,7.66,PT,1675632228
87,lyubech,51.7026,30.6569,-3.9,93,100,4.66,UA,1675632228
88,nakusp,50.2499,-117.8023,4.15,93,100,2.06,CA,1675632229
89,norman wells,65.282,-126.8329,-27.98,76,100,1.03,CA,1675632230
90,kahului,20.8947,-156.47,26.02,75,40,10.8,US,1675632231
91,carnarvon,-24.8667,113.6333,24.61,75,3,6.94,AU,1675632231
92,hambantota,6.1241,81.1185,24.44,82,98,4.8,LK,1675632102
93,sabanalarga,10.6296,-74.9206,28.49,45,82,5.98,CO,1675632233
94,grindavik,63.8424,-22.4338,7.97,81,75,22.12,IS,1675632128
95,pedasi,7.5333,-80.0333,29.48,68,11,7.23,PA,1675632234
96,brigantine,39.4101,-74.3646,8.41,75,100,3.13,US,1675632019
97,vardo,70.3705,31.1107,-6.01,93,100,7.2,NO,1675632235
98,bluff,-46.6,168.3333,15.27,86,62,11.43,NZ,1675632130
99,saldanha,-33.0117,17.9442,19.03,90,7,9.22,ZA,1675632162
100,mahebourg,-20.4081,57.7,26.81,83,40,2.06,MU,1675632237
101,nikolskoye,59.7035,30.7861,-4.06,95,100,3.64,RU,1675632238
102,shache,38.4167,77.2406,-4.01,81,99,2.28,CN,1675632238
103,juybar,36.6412,52.9124,8.94,48,2,1.59,IR,1675632239
104,biak,-0.9131,122.8766,24.76,80,100,2.59,ID,1675632240
105,kununurra,-15.7667,128.7333,23.99,94,42,0.0,AU,1675632241
106,sao joao da barra,-21.6403,-41.0511,25.05,91,38,4.21,BR,1675632242
107,fortuna,40.5982,-124.1573,10.19,90,100,1.54,US,1675632244
108,lebu,-37.6167,-73.65,18.34,78,2,9.05,CL,1675632066
109,micheweni,-4.9667,39.8333,26.45,77,11,4.73,TZ,1675632248
110,khatanga,71.9667,102.5,-36.52,99,72,2.81,RU,1675632252
111,moshi,-3.35,37.3333,23.86,41,45,3.45,TZ,1675632255
112,los llanos de aridane,28.6585,-17.9182,13.96,72,75,4.12,ES,1675632256
113,ngunguru,-35.6167,174.5,19.48,90,95,4.39,NZ,1675632258
114,tuktoyaktuk,69.4541,-133.0374,-43.0,66,40,2.06,CA,1675632260
115,nelson bay,-32.7167,152.15,23.38,88,1,1.34,AU,1675632262
116,marawi,7.9986,124.2928,19.33,90,100,1.2,PH,1675632263
117,provideniya,64.3833,-173.3,-14.8,72,100,6.0,RU,1675632264
118,naze,28.3667,129.4833,17.51,82,100,3.79,JP,1675632265
119,xining,36.6167,101.7667,-4.75,58,0,0.13,CN,1675632266
120,san quintin,30.4833,-115.95,18.05,62,24,10.05,MX,1675632081
121,yerbogachen,61.2767,108.0108,-35.88,100,98,0.99,RU,1675632268
122,menongue,-14.6585,17.691,16.59,91,100,2.3,AO,1675632271
123,watrous,51.6668,-105.4679,-7.12,86,12,7.72,CA,1675632272
124,malumfashi,11.7853,7.6218,24.48,16,100,3.92,NG,1675632272
125,saskylakh,71.9167,114.0833,-41.38,100,96,1.74,RU,1675632273
126,piranhas,-16.4269,-51.8222,27.41,78,73,1.54,BR,1675632274
127,nosy varika,-20.5833,48.5333,23.16,93,100,2.51,MG,1675632275
128,gazanjyk,39.2446,55.5154,7.06,57,6,1.28,TM,1675632275
129,rafai,4.95,23.9167,25.07,25,63,1.47,CF,1675632276
130,miramar,25.9873,-80.2323,27.01,78,20,5.66,US,1675632277
